1,-78.6961878,35.7273267,0.014,49.08,2021-08-27 11:23:08.153251,3,16
2,-78.6961877,35.7273269,0.034,49.078,2021-08-27 11:23:09.154117,3,16
3,-78.6961876,35.727327,0.053,48.999,2021-08-27 11:23:10.155405,3,16
4,-78.6961876,35.7273272,0.062,49.0,2021-08-27 11:23:11.157611,3,16
5,-78.6961877,35.7273274,0.069,48.998,2021-08-27 11:23:12.158516,3,16
6,-78.6961877,35.7273274,0.056,49.0,2021-08-27 11:23:13.159409,3,16
7,-78.6961877,35.7273275,0.055,48.991,2021-08-27 11:23:14.159815,3,16
8,-78.6961877,35.7273275,0.065,48.994,2021-08-27 11:23:15.161188,3,16
9,-78.6961878,35.7273275,0.082,48.603,2021-08-27 11:23:16.161476,3,16
10,-78.696189,35.7273274,0.371,47.832,2021-08-27 11:23:17.161826,3,16
11,-78.6961893,35.7273273,1.915,47.95,2021-08-27 11:23:18.162467,3,16
12,-78.6961892,35.7273274,3.867,47.864,2021-08-27 11:23:19.163345,3,16
13,-78.6961887,35.7273276,5.995,47.84,2021-08-27 11:23:20.163644,3,16
14,-78.6961884,35.7273278,8.236,47.794,2021-08-27 11:23:21.164852,3,16
15,-78.6961881,35.7273276,10.594,47.757,2021-08-27 11:23:22.167123,3,16
16,-78.6961879,35.7273275,12.999,47.744,2021-08-27 11:23:23.167832,3,16
17,-78.6961879,35.7273272,15.452,47.751,2021-08-27 11:23:24.169016,3,16
18,-78.6961879,35.7273273,17.929,47.706,2021-08-27 11:23:25.170418,3,16
19,-78.6961879,35.7273274,20.386,47.702,2021-08-27 11:23:26.171391,3,16
20,-78.6961876,35.727327,22.9,47.742,2021-08-27 11:23:27.172494,3,16
21,-78.6961875,35.7273273,25.391,47.689,2021-08-27 11:23:28.173756,3,16
22,-78.6961873,35.7273276,27.854,47.65,2021-08-27 11:23:29.175022,3,16
23,-78.6961875,35.7273275,30.346,47.634,2021-08-27 11:23:30.176275,3,16
24,-78.6961878,35.7273273,32.875,47.617,2021-08-27 11:23:31.177401,3,16
25,-78.6961877,35.7273274,35.383,47.611,2021-08-27 11:23:32.178383,3,16
26,-78.6961873,35.7273274,37.898,47.591,2021-08-27 11:23:33.179046,3,16
27,-78.6961877,35.7273276,40.391,47.559,2021-08-27 11:23:34.179863,3,16
28,-78.696188,35.7273277,42.878,47.548,2021-08-27 11:23:35.180517,3,16
29,-78.6961876,35.7273274,45.354,47.535,2021-08-27 11:23:36.181406,3,16
30,-78.6961875,35.7273274,47.649,47.709,2021-08-27 11:23:37.182423,3,16
31,-78.6961881,35.7273278,49.112,47.794,2021-08-27 11:23:38.183537,3,16
